ProductNo,category,sub_category,product,brand,market_price,rating
22485,Beauty & Hygiene,Hair Care,Garlic Oil - Vegetarian Capsule 500 mg,Sri Sri Ayurveda ,220,4.1
22596,"Kitchen, Garden & Pets",Storage & Accessories,Water Bottle - Orange,Mastercook,180,2.3
23235,Cleaning & Household,Pooja Needs,"Brass Angle Deep - Plain, No.2",Trm,250,3.4
23272,Cleaning & Household,Bins & Bathroom Ware,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Nakoda,176,3.7
23239,Beauty & Hygiene,Bath & Hand Wash,Creme Soft Soap - For Hands & Body,Nivea,162,4.4
21705,Cleaning & Household,All Purpose Cleaners,Germ - Removal Multipurpose Wipes,Nature Protect,199,3.3
22118,Beauty & Hygiene,Skin Care,Multani Mati,Satinance,58,3.6
22119,Beauty & Hygiene,Bath & Hand Wash,Hand Sanitizer - 70% Alcohol Base,Bionova,250,4
22217,Beauty & Hygiene,Hair Care,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,StBotanica,1098,3.5
22216,Cleaning & Household,"Mops, Brushes & Scrubs","Scrub Pad - Anti- Bacterial, Regular",Scotch brite,20,4.3
22380,Gourmet & World Food,Cooking & Baking Needs,Wheat Grass Powder - Raw,NUTRASHIL,290,4
22442,Gourmet & World Food,Chocolates & Biscuits,Butter Cookies Gold Collection,Sapphire,600,2.2
22664,Beauty & Hygiene,Skin Care,"Face Wash - Oil Control, Active",Oxy,110,5
22721,Cleaning & Household,All Purpose Cleaners,Mold & Mildew Remover with Bleach,Clorox,350,3.8
22723,Cleaning & Household,Fresheners & Repellents,Just Spray - Mosquito Repellent Room Spray,Herbal Strategi,200,4.2
22785,Cleaning & Household,Bins & Bathroom Ware,Dove Plastic Soap Case - Assorted Colour,Nakoda,59,4
22955,Beauty & Hygiene,Skin Care,Smooth Skin Oil - For Dry Skin,Aroma Treasures,360,5
23141,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Salted Pumpkin,Graminway,180,4.9
22956,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Flax Seeds - Roasted,True Elements,120,4.3
22581,Gourmet & World Food,Dairy & Cheese,Organic Tofu - Soy Paneer,Murginns,90,3.9
23198,Beauty & Hygiene,Hair Care,Ceramic Barrel Brush - Colour May Vary,Bronson Professional,700,4.2
23197,Gourmet & World Food,"Pasta, Soup & Noodles",Instant Noodles - Chicken Satay Flavor,Koka,50,4.1
23184,"Foodgrains, Oil & Masala",Dry Fruits,Chia Seeds,NaturoBell,120,3.9
23168,Gourmet & World Food,Drinks & Beverages,Cleanse Green Tea - Whole Leaf Loose Tea,Cambridge Tea Party,75,3.9
23167,"Kitchen, Garden & Pets",Kitchen Accessories,Veggie Cutter,IRICH,195,5
23166,"Kitchen, Garden & Pets",Flask & Casserole,Insulated Hot Fresh Casserole For Roti/Chapati - White,Cello,895,3.3
23165,Snacks & Branded Foods,Breakfast Cereals,Granola - Happy Berries,Fit & Flex,265,3.5
23004,"Foodgrains, Oil & Masala",Dry Fruits,Flaxseed - Pesticide Free,Safe Harvest,55,4
23002,Snacks & Branded Foods,Frozen Veggies & Snacks,Paratha Puff,Switz,110,4.3
23000,Beauty & Hygiene,Skin Care,Lip Butter - Rose,Organic Harvest,199,1.5
22998,Beverages,Fruit Juices & Drinks,Fruit Power - Masala Sugarcane,Real,20,2.9
22994,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Chocobakes Choc Filled Cookies,Cadbury,120,4.2
22835,Beauty & Hygiene,Fragrances & Deos,Amber - Deodorant Body Spray,Old Spice,249,3.4
22730,Beverages,Tea,Green Tea - Tulsi Loose Leaf,Octavius,225,3.7
22728,"Kitchen, Garden & Pets",Storage & Accessories,Pet Solitaire Container Set - Silver,Steelo,969,3.9
22727,"Foodgrains, Oil & Masala",Masalas & Spices,Dhania - Dal,bb Royal,120,4.1
22726,"Foodgrains, Oil & Masala",Masalas & Spices,Pudina Chutney Masala,Catch,55,3.9
22720,Beauty & Hygiene,Fragrances & Deos,Bodylicious Deodorant Spray - Mate (For Men),Engage,195,4.1
22693,Beauty & Hygiene,Men's Grooming,"Sport Deo Spray - Fresh, for Men",Engage,205,3.7
22670,Snacks & Branded Foods,Chocolates & Candies,Choco Deck - Mini Delights,Fabelle,200,4.4
22667,Beauty & Hygiene,Fragrances & Deos,Eau De Toilette - Homme Green,Colour Me,450,4.3
22666,Beauty & Hygiene,Bath & Hand Wash,Lemon & Tea Tree Oil Soap,Liril,360,4.2
22631,Gourmet & World Food,Chocolates & Biscuits,Flavoured Cream Wafer Roll - Strawberry,Twister,275,4.3
22628,"Kitchen, Garden & Pets",Steel Utensils,Storage/Lunch Steel Container with PP Lid - Red,Classic Essentials,299,2.6
22467,Gourmet & World Food,Tinned & Processed Food,Plain Green Olives,Figaro,179,5
