CustomerID,TransactionNo,Date,ProductNo,product,market_price,Quantity,CustomerNo
1,581482,01-01-2021,22485,Garlic Oil - Vegetarian Capsule 500 mg,220,12,17490
2,581475,04-01-2021,22596,Water Bottle - Orange,180,36,13069
2,581475,05-01-2021,23235,"Brass Angle Deep - Plain, No.2",250,12,13069
2,581475,06-01-2021,23272,Cereal Flip Lid Container/Storage Jar - Assorted Colour,176,12,13069
2,581475,07-01-2021,23239,Creme Soft Soap - For Hands & Body,162,6,13069
2,581475,08-01-2021,21705,Germ - Removal Multipurpose Wipes,199,24,13069
2,581475,11-01-2021,22118,Multani Mati,58,18,13069
2,581475,12-01-2021,22119,Hand Sanitizer - 70% Alcohol Base,250,12,13069
2,581475,13-01-2021,22217,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,1098,12,13069
2,581475,14-01-2021,22216,"Scrub Pad - Anti- Bacterial, Regular",20,24,13069
2,581475,15-01-2021,22380,Wheat Grass Powder - Raw,290,20,13069
2,581475,18-01-2021,22442,Butter Cookies Gold Collection,600,12,13069
2,581475,19-01-2021,22664,"Face Wash - Oil Control, Active",110,20,13069
2,581475,20-01-2021,22721,Mold & Mildew Remover with Bleach,350,12,13069
2,581475,21-01-2021,22723,Just Spray - Mosquito Repellent Room Spray,200,12,13069
2,581475,22-01-2021,22785,Dove Plastic Soap Case - Assorted Colour,59,12,13069
2,581475,25-01-2021,22955,Smooth Skin Oil - For Dry Skin,360,24,13069
2,581475,26-01-2021,23141,Salted Pumpkin,180,12,13069
2,581475,27-01-2021,22956,Flax Seeds - Roasted,120,24,13069
2,581475,28-01-2021,22581,Organic Tofu - Soy Paneer,90,48,13069
3,581476,29-01-2021,23198,Ceramic Barrel Brush - Colour May Vary,700,48,12433
3,581476,01-02-2021,23197,Instant Noodles - Chicken Satay Flavor,50,24,12433
3,581476,02-02-2021,23184,Chia Seeds,120,8,12433
3,581476,03-02-2021,23168,Cleanse Green Tea - Whole Leaf Loose Tea,75,12,12433
3,581476,04-02-2021,23167,Veggie Cutter,195,96,12433
3,581476,05-02-2021,23166,Insulated Hot Fresh Casserole For Roti/Chapati - White,895,48,12433
3,581476,08-02-2021,23165,Granola - Happy Berries,265,48,12433
3,581476,09-02-2021,23004,Flaxseed - Pesticide Free,55,48,12433
3,581476,10-02-2021,23002,Paratha Puff,110,24,12433
3,581476,11-02-2021,23000,Lip Butter - Rose,199,24,12433
3,581476,12-02-2021,22998,Fruit Power - Masala Sugarcane,20,72,12433
3,581476,15-02-2021,22994,Chocobakes Choc Filled Cookies,120,48,12433
3,581476,16-02-2021,22835,Amber - Deodorant Body Spray,249,8,12433
3,581476,17-02-2021,22730,Green Tea - Tulsi Loose Leaf,225,4,12433
3,581476,18-02-2021,22728,Pet Solitaire Container Set - Silver,969,8,12433
3,581476,19-02-2021,22727,Dhania - Dal,120,8,12433
3,581476,22-02-2021,22726,Pudina Chutney Masala,55,4,12433
3,581476,23-02-2021,22720,Bodylicious Deodorant Spray - Mate (For Men),195,16,12433
3,581476,24-02-2021,22693,"Sport Deo Spray - Fresh, for Men",205,192,12433
3,581476,25-02-2021,22670,Choco Deck - Mini Delights,200,24,12433
3,581476,26-02-2021,22667,Eau De Toilette - Homme Green,450,24,12433
3,581476,01-03-2021,22666,Lemon & Tea Tree Oil Soap,360,24,12433
3,581476,02-03-2021,22631,Flavoured Cream Wafer Roll - Strawberry,275,12,12433
3,581476,03-03-2021,22628,Storage/Lunch Steel Container with PP Lid - Red,299,16,12433
3,581476,04-03-2021,22467,Plain Green Olives,179,6,12433
3,581476,05-03-2021,22197,Quinoa - Organic,250,100,12433
3,581476,08-03-2021,22114,After Shave Splash - Arctic Ice,469,8,12433
3,581476,09-03-2021,22112,Colour Catcher Sheets,799,9,12433
3,581476,10-03-2021,21908,Sauce - Sweet & Sour,245,36,12433
3,581476,11-03-2021,21874,Super Hot and Sweet Mango Chutney,125,36,12433
3,581476,12-03-2021,21872,Pani Puri Mix Paste,55,12,12433
3,581476,15-03-2021,21871,Peach Syrup,850,36,12433
3,581476,16-03-2021,21533,Acne & Oil Control Face Wash,100,6,12433
3,581476,17-03-2021,21481,Choco Deck - French Dessert Inspired Layered Bar,70,12,12433
3,581476,18-03-2021,21479,Extra Fine Green Peas,225,4,12433
3,581476,19-03-2021,21248,Soothing Cucumber Facial Scrub With Apricot Seeds,499,12,12433
3,581476,22-03-2021,21216,Foochka,60,24,12433
3,581476,23-03-2021,21181,Argan-Liquid Gold Hair Spa,210,48,12433
3,581476,24-03-2021,21175,"Baby Bed Protector - Sublimation Print, Pink",199,48,12433
3,581476,25-03-2021,21169,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,399,48,12433
3,581476,26-03-2021,21162,"Atta Chalan - Stainless Steel, Size- No.8",179,24,12433
3,581476,29-03-2021,21159,Dog Supplement - Absolute Skin + Coat Tablet,498,24,12433
3,581476,30-03-2021,21158,"Peanut Butter - Creamy, Super",349,24,12433
3,581476,31-03-2021,21154,Sugar Free Petit Beurre - The Taste of France,35,10,12433
3,581476,01-04-2021,16016,Aqua Halo Rejuvenating Conditioner,225,40,12433
3,581476,02-04-2021,16014,Ayurvedic Anti-Tan Face Pack,449,60,12433
3,581476,05-04-2021,16008,Dog Supplement - Absolute Calcium Tablet,399,240,12433
3,581476,06-04-2021,85152,Battery Power Kids Toothbrush - Barbie,499,48,12433
3,581476,07-04-2021,84596F,Organic Carom Seeds/Ajwain/Om Kalu,72,32,12433
3,581476,08-04-2021,84596B,"Padded Harness - 3/4 inch, Grey Colour",840,16,12433
3,581476,09-04-2021,84510A,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",43,20,12433
3,581476,12-04-2021,82600,Pure & Gentle Face Wash,150,48,12433
3,581476,13-04-2021,82581,Sesame Seed Oil,300,48,12433
3,581476,14-04-2021,72232,Til Dil Seeds,70,144,12433
3,581476,15-04-2021,47559B,"Penta Plastic Pet Water Bottle - Green, Wide Mouth",126,10,12433
3,581476,16-04-2021,47504H,Acne Pimple Kit For Acne & Pimple Removal,500,36,12433
3,581476,19-04-2021,23493,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch",299,30,12433
3,581476,20-04-2021,23430,& Moms Bathing Soap - Jasmine,120,2,12433
3,581476,21-04-2021,23429,Amla Chatpata Dry Fruit,65,2,12433
3,581476,22-04-2021,23428,"Toothbrush Superhero Assorted, Batman/Spiderman",79,2,12433
3,581476,23-04-2021,23358,Chips - Topica,65,18,12433
3,581476,26-04-2021,23293,Cup a Soup - Croutons Cream of Asparagus,299,32,12433
3,581476,27-04-2021,23243,Organic Dal - Masoor,96,12,12433
3,581476,28-04-2021,23240,Strawberry Ice Cream,225,6,12433
4,581477,29-04-2021,48111,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,114,10,13426
4,581477,30-04-2021,22464,Jupiter Water/Juice Glass Tumbler,629,12,13426
4,581477,03-05-2021,20982,"Cheese - Feta Greek, Block",773,12,13426
4,581477,04-05-2021,20981,Avida 3-in-1 Semi Economy Pouch -  FG01248,35,12,13426
4,581477,05-05-2021,23424,Bathing Soap - Sandal & Turmeric,299,8,13426
4,581477,06-05-2021,23338,Sweet Corn Kernels - Chipotle,55,48,13426
4,581477,07-05-2021,84970L,Ashwagandha Tablets,120,12,13426
4,581477,10-05-2021,22457,Hard Anodised Ezee-Pour Saucepan With Lid - L88,910,6,13426
4,581477,11-05-2021,22469,Topp Up Milk - Elaichi,90,12,13426
4,581477,12-05-2021,22909,Namkeen - Madras Mixture,10,12,13426
5,581478,13-05-2021,84947,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack",249,24,17364
5,581478,14-05-2021,23503,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,299,12,17364
5,581478,17-05-2021,23445,Hair Remover Spray - Foam Lemon,1200,20,17364
5,581478,18-05-2021,23530,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,35,12,17364
5,581478,19-05-2021,84997C,Frankincense Oil,345,4,17364
5,581478,20-05-2021,84997D,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",1398,4,17364
5,581478,21-05-2021,84077,Samrakshana Vaastu Deepa Thailam,515,48,17364
5,581478,24-05-2021,22749,Quinoa - Organic Black,495,4,17364
5,581478,25-05-2021,23127,Fructis Serum - Long & Strong,230,4,17364
5,581478,26-05-2021,23126,Citrus Blast Orange Lemon Soap Free Body Wash,250,4,17364
5,581478,27-05-2021,22747,Veda Marie Light Biscuits,30,6,17364
5,581478,28-05-2021,22078,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet",749,10,17364
5,581478,31-05-2021,84946,Aamras Mango Fruit Juice,360,12,17364
5,581478,01-06-2021,22791,Henna & Ginseng Anti Hair Loss Shampoo,145,12,17364
5,581478,02-06-2021,21326,"Sandwich Toaster - Non-Stick, Gas",315,12,17364
5,581478,03-06-2021,22170,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",349,8,17364
5,581478,04-06-2021,23082,Incense Sticks - Sandal,60,6,17364
5,581478,07-06-2021,22909,SPF 15 Sunscreen Lotion,299,24,17364
6,581479,08-06-2021,22087,Fenugreek,30,10,17364
7,581480,09-06-2021,23464,Caramel Popcorn - Himalayan Salt,49,4,14441
7,581480,10-06-2021,22411,Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,215,10,14441
7,581480,11-06-2021,84029E,Sapota - Organically Grown,43.75,8,14441
7,581480,14-06-2021,22633,Spiced Tea - Blend Of 7 Refreshing Spices,150,12,14441
7,581480,15-06-2021,23355,"Steel Bowl/Vati/Katori - No. 4, Chutney",159,12,14441
7,581480,16-06-2021,84029G,"Adult Dry Cat Food - +1 Year, Ocean Fish",999,12,14441
7,581480,17-06-2021,22112,Millet Rusk - Sweet,100,6,14441
7,581480,18-06-2021,84347,"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm",1335,18,14441
8,581481,21-06-2021,21115,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",55,8,17490
8,581481,22-06-2021,22059,Cabbage - Red,28.75,24,17490
8,581481,23-06-2021,22072,Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,299,24,17490
8,581481,24-06-2021,22123,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),185,24,17490
8,581481,25-06-2021,22476,Premium Square Plastic Container - Green,280,8,17490
8,581481,28-06-2021,22495,Instant Popcorn - Butter Delite,33,12,17490
8,581481,29-06-2021,22496,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,525,12,17490
8,581481,30-06-2021,22513,Nutrition Plus Health Supplement - Joint Support,1299,8,17490
8,581481,01-07-2021,22500,Glass Belleza Bowl - Wine,398,12,17490
8,581481,02-07-2021,22664,Dark Fantasy - Choco Fills Biscuits - Cookies,30,20,17490
8,581481,05-07-2021,22721,Banana - Red,48.75,12,17490
8,581481,06-07-2021,22785,"Chilli - Bajji, Mild",17.5,12,17490
8,581481,07-07-2021,23178,I Love You Fruit N Nut Chocolate,100,12,17490
8,581481,08-07-2021,23302,Pitted Green Olives,230,24,17490
8,581481,09-07-2021,23533,Glass Mixing Bowl With Lid - Polo,190,6,17490
8,581481,12-07-2021,84819,Cake Gel,90,16,17490
9,581482,13-07-2021,22371,Toffees - Excellence Assorted,250,12,17490
9,581482,14-07-2021,21875,Organic Idly Podi - Ginger,75,36,17490
9,581482,15-07-2021,23251,Glass Water Bottle - Aquaria Organic Purple,425,96,17490
9,581482,16-07-2021,23300,Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,125,48,17490
9,581482,19-07-2021,22138,Organic Cow Ghee/Tuppa,280,24,17490
10,581483,20-07-2021,23843,Dates/Kharjura - Deseeded,66,8095,16446
11,581485,21-07-2021,22617,Chutney - Sweet Mango Sliced (without Garlic),90,18,17389
11,581485,22-07-2021,20749,Turmeric Powder/Arisina Pudi,64,84,17389
12,581486,23-07-2021,22910,Bread - Fruit,20,12,17001
12,581486,26-07-2021,22086,Bombay Street Food Spice Blend,225,12,17001
12,581486,27-07-2021,23351,Ragi Flakes,225,12,17001
12,581486,28-07-2021,23352,Mustard Oil - Cold Pressed,250,12,17001
12,581486,29-07-2021,22727,Juice/Water Glass - Long Drink Nord,975,8,17001
12,581486,30-07-2021,22730,Glass Amaze Air Tight Jar - Pink,358,4,17001
12,581486,02-08-2021,22491,"Finger Brush For Kids - Blue, Ultra Soft",120,12,17001
12,581486,03-08-2021,22561,Water/Juice Glass  - Jupiter Long Glass,705,12,17001
12,581486,04-08-2021,22489,Energy Bar - Choco Crunch,50,24,17001
12,581486,05-08-2021,22560,Breeze - Razor Blades,350,24,17001
12,581486,06-08-2021,22139,"Confeito Vermicelli Combo, Sprinkles",260,6,17001
12,581486,09-08-2021,23344,Olive Oil - Classic,700,20,17001
12,581486,10-08-2021,23203,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth",42,20,17001
12,581486,11-08-2021,85099B,Chia Seeds,185,10,17001
12,581486,12-08-2021,23201,Skin Cream,150,20,17001
12,581486,13-08-2021,23207,One Touch Air Purifier Freshener - Floral Bouquet Refill,77,10,17001
13,581487,16-08-2021,21137,Water/Juice Glass,220,120,15694
14,581488,17-08-2021,23118,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,199,16,17428
14,581488,18-08-2021,23111,Nomarks - Antimarks Soap For Oily Skin,40,16,17428
14,581488,19-08-2021,22179,"Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds",450,24,17428
15,581489,20-08-2021,22061,Baby Napkins - Mini Terry,179,48,16954
15,581489,23-08-2021,22182,"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",399,24,16954
16,581491,24-08-2021,23571,Snacks - Roasted Mixture Lime,109,12,12433
17,581492,25-08-2021,23369,Organic Dosa Mix - Jowar,80,2,15492
17,581492,26-08-2021,23370,Lunch Box/Tiffin Set - Green BB 570 2,565,2,15492
17,581492,27-08-2021,23371,BCAA Energy Drink - Berry Flavour,110,3,15492
17,581492,30-08-2021,23372,Coffee Energizing Face Scrub,190,1,15492
17,581492,31-08-2021,23376,Pain Relief - Oil,100,3,15492
17,581492,01-09-2021,23377,Ultra Soft New Born Diapers - Extra Small,999,6,15492
17,581492,02-09-2021,23378,Jungle Stimulating Facial Cleanser,799,9,15492
17,581492,03-09-2021,23379,Ylang Ylang Essential Oil,450,4,15492
17,581492,06-09-2021,23380,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),40,3,15492
17,581492,07-09-2021,23381,Soap,430,1,15492
17,581492,08-09-2021,23382,Yellow Balm,195,4,15492
17,581492,09-09-2021,23391,"LED Bulb - 12 Watt, Cool Daylight, B22 Base",260,2,15492
17,581492,10-09-2021,23392,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,109.38,2,15492
17,581492,13-09-2021,23399,Jaggery/Bella Powder - Pesticide Free,70,4,15492
17,581492,14-09-2021,23405,Ready Masala - Kashmiri Meat,20,3,15492
17,581492,15-09-2021,23418,"Water Saving Aerator, Switch",509,1,15492
17,581492,16-09-2021,23426,Lemongrass Anti-Pigmentation Massage Cream,165,1,15492
17,581492,17-09-2021,23434,Breakfast Mix - Finger Millet Ragi Idli,149,9,15492
17,581492,20-09-2021,23435,Herbal Wine Grapefruit Lip Balm,99,3,15492
17,581492,21-09-2021,23439,Masala Upma,20,1,15492
17,581492,22-09-2021,23451,Maharishi Ayurveda Ayush Kwath,165,1,15492
17,581492,23-09-2021,23467,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),2780,1,15492
17,581492,24-09-2021,23469,Chicken Liver Gourmet Loaf With Pumpkin - Super Food,150,3,15492
17,581492,27-09-2021,23480,Bath & Body Oil - Oriental Spicy Rose,699,2,15492
17,581492,28-09-2021,23493,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",450,3,15492
17,581492,29-09-2021,23494,Brioche,155,1,15492
17,581492,30-09-2021,23495,Onion - Rings,75,1,15492
17,581492,01-10-2021,23497,Cotton Mop With Telescopic Handle 150 Cm,620,4,15492
17,581492,04-10-2021,23498,Kale,12.5,2,15492
